query_id,kind,method,n,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,certified,certificate_false_positive
34,antijoin,PostFilter-SQL,9000,2166,0.7,0,ranking_truncation,0.06845999996585306,253,1164,1164,0,0
34,antijoin,PACER-A-SQL,9000,2166,0.9,0,ranking_truncation,1.3539770000079443,1067,4800,4800,0,0
34,antijoin,PACER-X-SQL,9000,2166,1.0,1,none,2.1865360001811496,2166,9000,9000,1,0
35,mixed,ExactSQL,9000,1970,1.0,1,none,0.14028300006430072,1970,9000,9000,1,0
35,mixed,PostFilter-SQL,9000,1970,0.8,0,ranking_truncation,0.07795100009388989,284,1199,1199,0,0
35,mixed,PACER-A-SQL,9000,1970,1.0,1,none,1.2883179999789718,1066,4800,4800,0,0
35,mixed,PACER-X-SQL,9000,1970,1.0,1,none,2.2293790000276204,1970,9000,9000,1,0
36,dnf,ExactSQL,9000,253,1.0,1,none,0.040492999914931715,253,9000,9000,1,0
36,dnf,PostFilter-SQL,9000,253,0.5,0,ranking_truncation,0.04289200001039717,30,1035,1035,0,0
36,dnf,PACER-A-SQL,9000,253,0.9,0,ranking_truncation,1.0534210000514577,162,4800,4800,0,0
36,dnf,PACER-X-SQL,9000,253,1.0,1,none,1.7449919998853147,253,8241,8241,1,0
37,semijoin,ExactSQL,9000,264,1.0,1,none,0.04084600004716776,264,9000,9000,1,0
37,semijoin,PostFilter-SQL,9000,264,0.3,0,ranking_truncation,0.041517999989082455,30,1025,1025,0,0
37,semijoin,PACER-A-SQL,9000,264,0.7,0,ranking_truncation,1.2123899998641718,157,4800,4800,0,0
37,semijoin,PACER-X-SQL,9000,264,1.0,1,none,1.7817840000589058,264,8188,8188,1,0
38,antijoin,ExactSQL,9000,2187,1.0,1,none,0.15355599998656544,2187,9000,9000,1,0
38,antijoin,PostFilter-SQL,9000,2187,0.4,0,ranking_truncation,0.06471599999713362,210,989,989,0,0
38,antijoin,PACER-A-SQL,9000,2187,0.9,0,ranking_truncation,1.2337029997979698,1075,4800,4800,0,0
38,antijoin,PACER-X-SQL,9000,2187,1.0,1,none,2.288841999870783,2187,9000,9000,1,0
39,mixed,ExactSQL,9000,2021,1.0,1,none,0.1308380001319165,2021,9000,9000,1,0
39,mixed,PostFilter-SQL,9000,2021,0.9,0,ranking_truncation,0.06631199994444614,290,1163,1163,0,0
39,mixed,PACER-A-SQL,9000,2021,1.0,1,none,1.217543999928239,1045,4800,4800,0,0
39,mixed,PACER-X-SQL,9000,2021,1.0,1,none,2.253502000030494,2021,9000,9000,1,0
40,dnf,ExactSQL,9000,798,1.0,1,none,0.06382399988069665,798,9000,9000,1,0
40,dnf,PostFilter-SQL,9000,798,0.5,0,ranking_truncation,0.07081900002958719,74,1409,1409,0,0
40,dnf,PACER-A-SQL,9000,798,1.0,1,none,1.1490510000840004,389,4800,4800,0,0
40,dnf,PACER-X-SQL,9000,798,1.0,1,none,2.0543929999803368,798,8921,8921,1,0
41,semijoin,ExactSQL,9000,258,1.0,1,none,0.05217199986873311,258,9000,9000,1,0
41,semijoin,PostFilter-SQL,9000,258,0.7,0,ranking_truncation,0.04626900022230984,37,1224,1224,0,0
41,semijoin,PACER-A-SQL,9000,258,1.0,1,none,1.1899399999037996,144,4800,4800,0,0
41,semijoin,PACER-X-SQL,9000,258,1.0,1,none,1.7971780000607396,258,8461,8461,1,0
42,antijoin,ExactSQL,9000,2323,1.0,1,none,0.18137000006390736,2323,9000,9000,1,0
42,antijoin,PostFilter-SQL,9000,2323,0.8,0,ranking_truncation,0.07250900011968042,316,1177,1177,0,0
42,antijoin,PACER-A-SQL,9000,2323,0.9,0,ranking_truncation,1.2777140000252984,1295,4800,4800,0,0
42,antijoin,PACER-X-SQL,9000,2323,1.0,1,none,2.2302510001281917,2323,9000,9000,1,0
43,mixed,ExactSQL,9000,2020,1.0,1,none,0.1897709998956998,2020,9000,9000,1,0
43,mixed,PostFilter-SQL,9000,2020,0.9,0,ranking_truncation,0.06612400011363206,233,1031,1031,0,0
43,mixed,PACER-A-SQL,9000,2020,1.0,1,none,1.2574590000440367,1014,4800,4800,0,0
43,mixed,PACER-X-SQL,9000,2020,1.0,1,none,2.1762829999261157,2020,9000,9000,1,0
44,dnf,ExactSQL,9000,559,1.0,1,none,0.06938100000297709,559,9000,9000,1,0
44,dnf,PostFilter-SQL,9000,559,0.4,0,ranking_truncation,0.0817659999938769,82,1175,1175,0,0
44,dnf,PACER-A-SQL,9000,559,1.0,1,none,1.1878000000251632,278,4800,4800,0,0
44,dnf,PACER-X-SQL,9000,559,1.0,1,none,2.044590000195967,559,9000,9000,1,0
45,semijoin,ExactSQL,9000,223,1.0,1,none,0.06580000012945675,223,9000,9000,1,0
45,semijoin,PostFilter-SQL,9000,223,0.4,0,ranking_truncation,0.042803000042113126,19,1211,1211,0,0
45,semijoin,PACER-A-SQL,9000,223,1.0,1,none,1.1607470000853937,134,4800,4800,0,0
45,semijoin,PACER-X-SQL,9000,223,1.0,1,none,1.7377529998157115,223,8034,8034,1,0
