seed,correlation,delete_rate,query_id,method,recall_at_k,secure_topk_exact,raw_candidates,latency_ms,violations,certified
11,positive,0.12,7,PreFilter-IVF,1.000000,1.000000,81.000,0.309059,0,0
11,positive,0.12,7,BitmapSlice-Exact,1.000000,1.000000,1.000,0.050754,0,1
11,positive,0.12,7,PACER-A,1.000000,1.000000,1.000,0.129463,0,1
11,positive,0.12,7,PACER-C,1.000000,1.000000,1.000,0.103759,0,1
11,positive,0.12,7,PACER-X,1.000000,1.000000,1.000,0.100952,0,1
11,positive,0.12,8,PostFilter-IVF,1.000000,1.000000,544.000,0.655402,0,0
11,positive,0.12,8,PreFilter-IVF,0.900000,0.000000,747.000,1.880904,0,0
11,positive,0.12,8,BitmapSlice-Exact,1.000000,1.000000,1706.000,2.473400,0,1
11,positive,0.12,8,PACER-A,1.000000,1.000000,700.000,2.498379,0,0
11,positive,0.12,8,PACER-C,1.000000,1.000000,1706.000,5.786534,0,1
11,positive,0.12,8,PACER-X,1.000000,1.000000,1706.000,6.482656,0,1
11,positive,0.12,9,PostFilter-IVF,0.600000,0.000000,550.000,0.574613,0,0
11,positive,0.12,9,PreFilter-IVF,0.700000,0.000000,613.000,1.205527,0,0
11,positive,0.12,9,BitmapSlice-Exact,1.000000,1.000000,135.000,0.296802,0,1
11,positive,0.12,9,PACER-A,1.000000,1.000000,135.000,2.790760,0,1
11,positive,0.12,9,PACER-C,1.000000,1.000000,135.000,2.638993,0,1
11,positive,0.12,9,PACER-X,1.000000,1.000000,135.000,2.841356,0,1
11,positive,0.12,10,PostFilter-IVF,0.400000,0.000000,593.000,0.922237,0,0
11,positive,0.12,10,PreFilter-IVF,1.000000,1.000000,323.000,0.785705,0,0
11,positive,0.12,10,BitmapSlice-Exact,1.000000,1.000000,6.000,0.093630,0,1
11,positive,0.12,10,PACER-A,1.000000,1.000000,6.000,0.392916,0,1
11,positive,0.12,10,PACER-C,1.000000,1.000000,6.000,0.310420,0,1
11,positive,0.12,10,PACER-X,1.000000,1.000000,6.000,0.297512,0,1
11,positive,0.12,11,PostFilter-IVF,0.500000,0.000000,571.000,0.535481,0,0
11,positive,0.12,11,PreFilter-IVF,1.000000,1.000000,316.000,0.477396,0,0
11,positive,0.12,11,BitmapSlice-Exact,1.000000,1.000000,4.000,0.069399,0,1
11,positive,0.12,11,PACER-A,1.000000,1.000000,4.000,0.337693,0,1
11,positive,0.12,11,PACER-C,1.000000,1.000000,4.000,0.247792,0,1
11,positive,0.12,11,PACER-X,1.000000,1.000000,4.000,0.232003,0,1
11,positive,0.12,12,PostFilter-IVF,0.800000,0.000000,620.000,0.601881,0,0
11,positive,0.12,12,PreFilter-IVF,0.800000,0.000000,658.000,1.776002,0,0
11,positive,0.12,12,BitmapSlice-Exact,1.000000,1.000000,1681.000,2.328317,0,1
11,positive,0.12,12,PACER-A,0.900000,0.000000,700.000,2.181717,0,0
11,positive,0.12,12,PACER-C,1.000000,1.000000,1681.000,5.272979,0,1
11,positive,0.12,12,PACER-X,1.000000,1.000000,1681.000,5.314414,0,1
11,positive,0.12,13,PostFilter-IVF,0.600000,0.000000,640.000,0.504766,0,0
11,positive,0.12,13,PreFilter-IVF,0.700000,0.000000,595.000,0.820865,0,0
11,positive,0.12,13,BitmapSlice-Exact,1.000000,1.000000,108.000,0.185126,0,1
11,positive,0.12,13,PACER-A,1.000000,1.000000,108.000,3.047211,0,1
11,positive,0.12,13,PACER-C,1.000000,1.000000,108.000,2.419962,0,1
11,positive,0.12,13,PACER-X,1.000000,1.000000,108.000,2.437091,0,1
11,positive,0.12,14,PostFilter-IVF,0.666667,0.000000,516.000,0.464740,0,0
11,positive,0.12,14,PreFilter-IVF,1.000000,1.000000,184.000,0.406814,0,0
11,positive,0.12,14,BitmapSlice-Exact,1.000000,1.000000,3.000,0.059545,0,1
11,positive,0.12,14,PACER-A,1.000000,1.000000,3.000,0.196107,0,1
11,positive,0.12,14,PACER-C,1.000000,1.000000,3.000,0.265191,0,1
11,positive,0.12,14,PACER-X,1.000000,1.000000,3.000,0.201614,0,1
11,positive,0.12,15,PostFilter-IVF,1.000000,1.000000,502.000,0.553513,0,0
11,positive,0.12,15,PreFilter-IVF,1.000000,1.000000,59.000,0.428418,0,0
11,positive,0.12,15,BitmapSlice-Exact,1.000000,1.000000,1.000,0.076844,0,1
11,positive,0.12,15,PACER-A,1.000000,1.000000,1.000,0.111842,0,1
11,positive,0.12,15,PACER-C,1.000000,1.000000,1.000,0.098247,0,1
11,positive,0.12,15,PACER-X,1.000000,1.000000,1.000,0.095241,0,1
11,positive,0.24,0,PostFilter-IVF,0.800000,0.000000,656.000,0.814264,0,0
11,positive,0.24,0,PreFilter-IVF,0.800000,0.000000,624.000,3.995331,0,0
11,positive,0.24,0,BitmapSlice-Exact,1.000000,1.000000,1741.000,2.446830,0,1
11,positive,0.24,0,PACER-A,1.000000,1.000000,700.000,2.738931,0,0
11,positive,0.24,0,PACER-C,1.000000,1.000000,1741.000,5.786111,0,1
11,positive,0.24,0,PACER-X,1.000000,1.000000,1741.000,62.266571,0,1
11,positive,0.24,1,PostFilter-IVF,0.500000,0.000000,526.000,0.475677,0,0
11,positive,0.24,1,PreFilter-IVF,0.800000,0.000000,579.000,1.653580,0,0
11,positive,0.24,1,BitmapSlice-Exact,1.000000,1.000000,108.000,0.267141,0,1
11,positive,0.24,1,PACER-A,1.000000,1.000000,108.000,2.701467,0,1
11,positive,0.24,1,PACER-C,1.000000,1.000000,108.000,2.440984,0,1
11,positive,0.24,1,PACER-X,1.000000,1.000000,108.000,2.423407,0,1
11,positive,0.24,2,PostFilter-IVF,0.000000,0.000000,639.000,0.538205,0,0
11,positive,0.24,2,PreFilter-IVF,1.000000,1.000000,294.000,0.507735,0,0
11,positive,0.24,2,BitmapSlice-Exact,1.000000,1.000000,3.000,0.059129,0,1
11,positive,0.24,2,PACER-A,1.000000,1.000000,3.000,0.293241,0,1
11,positive,0.24,2,PACER-C,1.000000,1.000000,3.000,0.304964,0,1
11,positive,0.24,2,PACER-X,1.000000,1.000000,3.000,0.274313,0,1
11,positive,0.24,3,PostFilter-IVF,0.750000,0.000000,660.000,0.636791,0,0
11,positive,0.24,3,PreFilter-IVF,1.000000,1.000000,201.000,0.481459,0,0
11,positive,0.24,3,BitmapSlice-Exact,1.000000,1.000000,4.000,0.102295,0,1
11,positive,0.24,3,PACER-A,1.000000,1.000000,4.000,0.277385,0,1
11,positive,0.24,3,PACER-C,1.000000,1.000000,4.000,0.230399,0,1
11,positive,0.24,3,PACER-X,1.000000,1.000000,4.000,0.206389,0,1
11,positive,0.24,4,PostFilter-IVF,0.300000,0.000000,446.000,0.662345,0,0
11,positive,0.24,4,PreFilter-IVF,0.500000,0.000000,498.000,1.270285,0,0
11,positive,0.24,4,BitmapSlice-Exact,1.000000,1.000000,1796.000,2.279282,0,1
11,positive,0.24,4,PACER-A,0.700000,0.000000,700.000,2.607293,0,0
11,positive,0.24,4,PACER-C,1.000000,1.000000,1796.000,6.352874,0,1
11,positive,0.24,4,PACER-X,1.000000,1.000000,1796.000,55.748053,0,1
11,positive,0.24,5,PostFilter-IVF,0.200000,0.000000,516.000,0.723734,0,0
11,positive,0.24,5,PreFilter-IVF,0.700000,0.000000,707.000,2.014159,0,0
11,positive,0.24,5,BitmapSlice-Exact,1.000000,1.000000,107.000,0.209015,0,1
11,positive,0.24,5,PACER-A,1.000000,1.000000,107.000,3.020106,0,1
11,positive,0.24,5,PACER-C,1.000000,1.000000,107.000,2.455294,0,1
11,positive,0.24,5,PACER-X,1.000000,1.000000,107.000,2.961234,0,1
11,positive,0.24,6,PostFilter-IVF,0.333333,0.000000,582.000,0.593018,0,0
11,positive,0.24,6,PreFilter-IVF,1.000000,1.000000,289.000,0.590338,0,0
11,positive,0.24,6,BitmapSlice-Exact,1.000000,1.000000,4.000,0.084464,0,1
11,positive,0.24,6,PACER-A,1.000000,1.000000,4.000,0.301611,0,1
11,positive,0.24,6,PACER-C,1.000000,1.000000,4.000,0.270430,0,1
11,positive,0.24,6,PACER-X,1.000000,1.000000,4.000,0.270550,0,1
11,positive,0.24,7,PostFilter-IVF,1.000000,1.000000,590.000,0.513513,0,0
11,positive,0.24,7,PreFilter-IVF,1.000000,1.000000,81.000,0.311854,0,0
11,positive,0.24,7,BitmapSlice-Exact,1.000000,1.000000,1.000,0.052477,0,1
11,positive,0.24,7,PACER-A,1.000000,1.000000,1.000,0.111940,0,1
11,positive,0.24,7,PACER-C,1.000000,1.000000,1.000,0.112449,0,1
11,positive,0.24,7,PACER-X,1.000000,1.000000,1.000,0.100406,0,1
11,positive,0.24,8,PostFilter-IVF,0.900000,0.000000,544.000,0.457415,0,0
11,positive,0.24,8,PreFilter-IVF,0.800000,0.000000,747.000,1.966950,0,0
11,positive,0.24,8,BitmapSlice-Exact,1.000000,1.000000,1706.000,2.095929,0,1
11,positive,0.24,8,PACER-A,0.900000,0.000000,700.000,2.721285,0,0
11,positive,0.24,8,PACER-C,1.000000,1.000000,1706.000,54.796970,0,1
11,positive,0.24,8,PACER-X,1.000000,1.000000,1706.000,6.870427,0,1
11,positive,0.24,9,PostFilter-IVF,0.600000,0.000000,550.000,0.779345,0,0
11,positive,0.24,9,PreFilter-IVF,0.700000,0.000000,613.000,1.286844,0,0
11,positive,0.24,9,BitmapSlice-Exact,1.000000,1.000000,135.000,0.237664,0,1
11,positive,0.24,9,PACER-A,1.000000,1.000000,135.000,2.989187,0,1
