query_id,kind,method,n,dim,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,visited_cluster_count,certified,certificate_false_positive,summary_pruned_clusters
21,semijoin,PACER-A-SQL-AST,9000,64,157,0.9,0,ranking_truncation,4.288465000172437,63,4800,4800,36,0,0,0
21,semijoin,PACER-X-SQL-AST,9000,64,157,1.0,1,none,7.1773130002839025,157,9000,9000,64,1,0,0
22,antijoin,ExactSQL-AST,9000,64,2152,1.0,1,none,0.878853999893181,2152,9000,9000,0,1,0,0
22,antijoin,PostFilter-SQL-AST,9000,64,2152,0.7,0,ranking_truncation,0.31866000063018873,344,1237,1237,8,0,0,0
22,antijoin,PACER-A-SQL-AST,9000,64,2152,0.9,0,ranking_truncation,7.153071999709937,1123,4800,4800,32,0,0,0
22,antijoin,PACER-X-SQL-AST,9000,64,2152,1.0,1,none,12.071567000020877,2152,9000,9000,64,1,0,0
23,range,ExactSQL-AST,9000,64,611,1.0,1,none,0.3919420005331631,611,9000,9000,0,1,0,0
23,range,PostFilter-SQL-AST,9000,64,611,0.5,0,ranking_truncation,0.1757789996190695,74,1263,1263,8,0,0,0
23,range,PACER-A-SQL-AST,9000,64,611,0.8,0,ranking_truncation,4.481863000364683,315,4800,4800,32,0,0,0
23,range,PACER-X-SQL-AST,9000,64,611,1.0,1,none,7.567960000415042,611,9000,9000,64,1,0,0
24,mixed,ExactSQL-AST,9000,64,2880,1.0,1,none,0.5976169995847158,2880,9000,9000,0,1,0,0
24,mixed,PostFilter-SQL-AST,9000,64,2880,0.4,0,ranking_truncation,0.2754990000539692,376,1086,1086,8,0,0,0
24,mixed,PACER-A-SQL-AST,9000,64,2880,0.9,0,ranking_truncation,5.1164739998057485,1553,4800,4800,36,0,0,0
24,mixed,PACER-X-SQL-AST,9000,64,2880,1.0,1,none,9.083326000109082,2880,9000,9000,64,1,0,0
25,dnf,ExactSQL-AST,9000,64,365,1.0,1,none,0.7087759995556553,365,9000,9000,0,1,0,0
25,dnf,PostFilter-SQL-AST,9000,64,365,0.5,0,ranking_truncation,0.44418299967219355,56,1314,1314,8,0,0,0
25,dnf,PACER-A-SQL-AST,9000,64,365,0.8,0,ranking_truncation,9.21218100029364,207,4800,4800,34,0,0,0
25,dnf,PACER-X-SQL-AST,9000,64,365,1.0,1,none,16.051010999944992,365,9000,9000,64,1,0,0
26,semijoin,ExactSQL-AST,9000,64,183,1.0,1,none,0.4344529997979407,183,9000,9000,0,1,0,0
26,semijoin,PostFilter-SQL-AST,9000,64,183,0.5,0,ranking_truncation,0.19948200042563258,29,1263,1263,8,0,0,0
26,semijoin,PACER-A-SQL-AST,9000,64,183,0.9,0,ranking_truncation,4.5490419997804565,109,4800,4800,34,0,0,0
26,semijoin,PACER-X-SQL-AST,9000,64,183,1.0,1,none,8.355572999789729,183,9000,9000,64,1,0,0
27,antijoin,ExactSQL-AST,9000,64,2140,1.0,1,none,0.9119799997279188,2140,9000,9000,0,1,0,0
27,antijoin,PostFilter-SQL-AST,9000,64,2140,0.3,0,ranking_truncation,0.4810880000150064,407,1502,1502,8,0,0,0
27,antijoin,PACER-A-SQL-AST,9000,64,2140,0.8,0,ranking_truncation,5.0020280004901,1078,4800,4800,31,0,0,0
27,antijoin,PACER-X-SQL-AST,9000,64,2140,1.0,1,none,12.859114999628218,2140,9000,9000,64,1,0,0
28,range,ExactSQL-AST,9000,64,749,1.0,1,none,0.379963999876054,749,9000,9000,0,1,0,0
28,range,PostFilter-SQL-AST,9000,64,749,0.7,0,ranking_truncation,0.20443699941097293,116,1131,1131,8,0,0,0
