query_id,method,recall_at_k,secure_topk_exact,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,policy_checks,certified
32,ExactSecure,1.0,1,0,0,0,7.626692000030744,12000,12000,1
32,BitmapSlice-Exact,1.0,1,0,0,0,0.32885900009205216,25,25,1
32,PostFilter-IVF,0.3,0,0,0,0,1.745464999885371,1679,1679,0
32,PreFilter-IVF,0.7,0,0,0,0,29.90704600006211,1693,1693,0
32,PACER-A,1.0,1,0,0,0,1.3593730000138748,25,25,1
32,PACER-X,1.0,1,0,0,0,1.2559510000755836,25,25,1
33,ExactSecure,1.0,1,0,0,0,7.552408000037758,12000,12000,1
33,BitmapSlice-Exact,1.0,1,0,0,0,0.19259500004409347,29,29,1
33,PostFilter-IVF,0.3,0,0,0,0,1.8273630000749108,1514,1514,0
33,PreFilter-IVF,1.0,1,0,0,0,38.844067999889376,1575,1575,0
33,PACER-A,1.0,1,0,0,0,1.516614999900412,29,29,1
33,PACER-X,1.0,1,0,0,0,1.3609080001515395,29,29,1
34,ExactSecure,1.0,1,0,0,0,7.385091000060129,12000,12000,1
34,BitmapSlice-Exact,1.0,1,0,0,0,0.1877639999747771,25,25,1
34,PostFilter-IVF,0.5,0,0,0,0,1.760138999998162,1800,1800,0
34,PreFilter-IVF,0.9,0,0,0,0,33.25130400003218,1580,1580,0
34,PACER-A,1.0,1,0,0,0,1.494426000135718,25,25,1
34,PACER-X,1.0,1,0,0,0,1.8217699998785974,25,25,1
35,ExactSecure,1.0,1,0,0,0,8.445616000017253,12000,12000,1
35,BitmapSlice-Exact,1.0,1,0,0,0,0.27974399995400745,54,54,1
35,PostFilter-IVF,0.5,0,0,0,0,1.7045029999280814,1575,1575,0
35,PreFilter-IVF,0.6,0,0,0,0,38.66287299979376,1888,1888,0
35,PACER-A,1.0,1,0,0,0,2.3225810000440106,54,54,1
35,PACER-X,1.0,1,0,0,0,3.3733099999153637,54,54,1
36,ExactSecure,1.0,1,0,0,0,6.999367999924289,12000,12000,1
36,BitmapSlice-Exact,1.0,1,0,0,0,0.22651900007986114,49,49,1
36,PostFilter-IVF,0.2,0,0,0,0,1.470306999863169,1460,1460,0
36,PreFilter-IVF,0.8,0,0,0,0,33.49853500003519,1682,1682,0
36,PACER-A,1.0,1,0,0,0,2.5370249998104555,49,49,1
36,PACER-X,1.0,1,0,0,0,2.409381999996185,49,49,1
37,ExactSecure,1.0,1,0,0,0,9.51117499994325,12000,12000,1
37,BitmapSlice-Exact,1.0,1,0,0,0,0.25341399987155455,29,29,1
37,PostFilter-IVF,0.2,0,0,0,0,1.5447759999460686,1444,1444,0
37,PreFilter-IVF,1.0,1,0,0,0,34.2265999997835,1770,1770,0
37,PACER-A,1.0,1,0,0,0,1.4919529999133374,29,29,1
37,PACER-X,1.0,1,0,0,0,1.3835550000749208,29,29,1
