epoch,query_id,method,base_rows,delta_rows,visible_rows,inserted_since_compaction,tombstones_to_date,recall_at_k,secure_topk_exact,raw_checks,rebuild_ms,policy_violations,epoch_violations
3,13,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,209,123.65837900006227,0,0
3,14,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,1,0.0,0,0
3,14,DeltaPACER,7444,0,7178,0,266,1.0,1,1,0.0,0,0
3,14,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,1,123.65837900006227,0,0
3,15,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,3,0.0,0,0
3,15,DeltaPACER,7444,0,7178,0,266,1.0,1,3,0.0,0,0
3,15,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,3,123.65837900006227,0,0
3,16,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,3124,0.0,0,0
3,16,DeltaPACER,7444,0,7178,0,266,1.0,1,3124,0.0,0,0
3,16,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,3124,123.65837900006227,0,0
3,17,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,219,0.0,0,0
3,17,DeltaPACER,7444,0,7178,0,266,1.0,1,219,0.0,0,0
3,17,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,219,123.65837900006227,0,0
3,18,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,2,0.0,0,0
3,18,DeltaPACER,7444,0,7178,0,266,1.0,1,2,0.0,0,0
3,18,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,2,123.65837900006227,0,0
3,19,BaseOnly-Stale,7444,0,7178,0,266,1.0,1,5,0.0,0,0
3,19,DeltaPACER,7444,0,7178,0,266,1.0,1,5,0.0,0,0
3,19,FreshSlice-Rebuild,7444,0,7178,0,266,1.0,1,5,123.65837900006227,0,0
4,0,BaseOnly-Stale,7444,939,7940,939,443,0.8,0,3192,0.0,0,0
4,0,DeltaPACER,7444,939,7940,939,443,1.0,1,4131,0.0,0,0
4,0,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,3620,141.9793740001296,0,0
4,1,BaseOnly-Stale,7444,939,7940,939,443,0.9,0,214,0.0,0,0
4,1,DeltaPACER,7444,939,7940,939,443,1.0,1,1153,0.0,0,0
4,1,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,239,141.9793740001296,0,0
4,2,BaseOnly-Stale,7444,939,7940,939,443,0.75,0,8,0.0,0,0
4,2,DeltaPACER,7444,939,7940,939,443,1.0,1,947,0.0,0,0
4,2,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,10,141.9793740001296,0,0
4,3,BaseOnly-Stale,7444,939,7940,939,443,1.0,1,2,0.0,0,0
4,3,DeltaPACER,7444,939,7940,939,443,1.0,1,941,0.0,0,0
4,3,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,2,141.9793740001296,0,0
4,4,BaseOnly-Stale,7444,939,7940,939,443,1.0,1,3031,0.0,0,0
4,4,DeltaPACER,7444,939,7940,939,443,1.0,1,3970,0.0,0,0
4,4,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,3417,141.9793740001296,0,0
4,5,BaseOnly-Stale,7444,939,7940,939,443,0.9,0,230,0.0,0,0
4,5,DeltaPACER,7444,939,7940,939,443,1.0,1,1169,0.0,0,0
4,5,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,259,141.9793740001296,0,0
4,6,BaseOnly-Stale,7444,939,7940,939,443,0.6666666666666666,0,2,0.0,0,0
4,6,DeltaPACER,7444,939,7940,939,443,1.0,1,941,0.0,0,0
4,6,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,3,141.9793740001296,0,0
4,7,BaseOnly-Stale,7444,939,7940,939,443,1.0,1,2,0.0,0,0
4,7,DeltaPACER,7444,939,7940,939,443,1.0,1,941,0.0,0,0
4,7,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,2,141.9793740001296,0,0
4,8,BaseOnly-Stale,7444,939,7940,939,443,1.0,1,2826,0.0,0,0
4,8,DeltaPACER,7444,939,7940,939,443,1.0,1,3765,0.0,0,0
4,8,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,3181,141.9793740001296,0,0
4,9,BaseOnly-Stale,7444,939,7940,939,443,0.9,0,229,0.0,0,0
4,9,DeltaPACER,7444,939,7940,939,443,1.0,1,1168,0.0,0,0
4,9,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,256,141.9793740001296,0,0
4,10,BaseOnly-Stale,7444,939,7940,939,443,0.75,0,3,0.0,0,0
4,10,DeltaPACER,7444,939,7940,939,443,1.0,1,942,0.0,0,0
4,10,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,4,141.9793740001296,0,0
4,11,BaseOnly-Stale,7444,939,7940,939,443,1.0,1,5,0.0,0,0
4,11,DeltaPACER,7444,939,7940,939,443,1.0,1,944,0.0,0,0
4,11,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,5,141.9793740001296,0,0
4,12,BaseOnly-Stale,7444,939,7940,939,443,0.9,0,3172,0.0,0,0
4,12,DeltaPACER,7444,939,7940,939,443,1.0,1,4111,0.0,0,0
4,12,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,3553,141.9793740001296,0,0
4,13,BaseOnly-Stale,7444,939,7940,939,443,0.7,0,191,0.0,0,0
4,13,DeltaPACER,7444,939,7940,939,443,1.0,1,1130,0.0,0,0
4,13,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,219,141.9793740001296,0,0
4,14,BaseOnly-Stale,7444,939,7940,939,443,1.0,1,4,0.0,0,0
4,14,DeltaPACER,7444,939,7940,939,443,1.0,1,943,0.0,0,0
4,14,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,4,141.9793740001296,0,0
4,15,BaseOnly-Stale,7444,939,7940,939,443,1.0,1,9,0.0,0,0
4,15,DeltaPACER,7444,939,7940,939,443,1.0,1,948,0.0,0,0
4,15,FreshSlice-Rebuild,7444,939,7940,939,443,1.0,1,9,141.9793740001296,0,0
